# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 698  of event 'cycles:P'
# Event count (approx.): 707254535
#
# Overhead  Command          Shared Object            Symbol                           
# ........  ...............  .......................  .................................
#
    19.47%  double_linked_l  libc.so.6                [.] _int_malloc
    14.78%  double_linked_l  libc.so.6                [.] __mcount_internal
    11.04%  double_linked_l  libc.so.6                [.] _int_free
     7.46%  double_linked_l  libc.so.6                [.] malloc
     4.88%  double_linked_l  libc.so.6                [.] cfree@GLIBC_2.2.5
     2.95%  double_linked_l  [kernel.kallsyms]        [k] __irqentry_text_end
     2.81%  double_linked_l  [kernel.kallsyms]        [k] error_entry
     2.67%  double_linked_l  double_linked_list_test  [.] InsertLast
     2.46%  double_linked_l  [kernel.kallsyms]        [k] clear_page_erms
     2.11%  double_linked_l  libc.so.6                [.] _mcount
     2.05%  double_linked_l  [kernel.kallsyms]        [k] native_irq_return_iret
     1.82%  double_linked_l  [kernel.kallsyms]        [k] irqentry_exit_to_user_mode
     1.41%  double_linked_l  double_linked_list_test  [.] InsertFirst
     1.39%  double_linked_l  double_linked_list_test  [.] malloc@plt
     1.27%  double_linked_l  double_linked_list_test  [.] DeleteLast
     1.00%  double_linked_l  [kernel.kallsyms]        [k] rmqueue_bulk
     0.99%  double_linked_l  [kernel.kallsyms]        [k] charge_memcg
     0.84%  double_linked_l  libc.so.6                [.] __memmove_avx_unaligned_erms
     0.84%  double_linked_l  double_linked_list_test  [.] DoubleLinkedListLargeTestInt
     0.84%  double_linked_l  [kernel.kallsyms]        [k] _compound_head
     0.84%  double_linked_l  [kernel.kallsyms]        [k] __free_one_page
     0.84%  double_linked_l  double_linked_list_test  [.] free@plt
     0.70%  double_linked_l  [kernel.kallsyms]        [k] sync_regs
     0.63%  double_linked_l  [kernel.kallsyms]        [k] exit_to_user_mode_prepare
     0.56%  double_linked_l  [kernel.kallsyms]        [k] do_anonymous_page
     0.56%  double_linked_l  [kernel.kallsyms]        [k] __alloc_pages
