# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 4830532933
#
# Overhead  Command          Shared Object            Symbol                            
# ........  ...............  .......................  ..................................
#
    44.54%  min_priority_qu  libc.so.6                [.] __mcount_internal
     9.09%  min_priority_qu  min_priority_queue_test  [.] MinHeapify
     7.88%  min_priority_qu  libc.so.6                [.] _mcount
     7.85%  min_priority_qu  min_priority_queue_test  [.] IntCompare
     7.76%  min_priority_qu  libc.so.6                [.] __random
     3.22%  min_priority_qu  libc.so.6                [.] __memmove_avx_unaligned_erms
     2.87%  min_priority_qu  libc.so.6                [.] _int_free
     2.64%  min_priority_qu  libc.so.6                [.] malloc
     1.44%  min_priority_qu  min_priority_queue_test  [.] TestLarge
     1.43%  min_priority_qu  libc.so.6                [.] __random_r
     1.31%  min_priority_qu  libc.so.6                [.] cfree@GLIBC_2.2.5
     1.23%  min_priority_qu  min_priority_queue_test  [.] MinHeapRight
     1.19%  min_priority_qu  min_priority_queue_test  [.] MinHeapLeft
     0.68%  min_priority_qu  libc.so.6                [.] rand
     0.54%  min_priority_qu  min_priority_queue_test  [.] memcpy@plt
     0.50%  min_priority_qu  [kernel.kallsyms]        [k] irqentry_exit_to_user_mode
     0.47%  min_priority_qu  [kernel.kallsyms]        [k] __irqentry_text_end
     0.40%  min_priority_qu  min_priority_queue_test  [.] BuildMinHeap
     0.36%  min_priority_qu  min_priority_queue_test  [.] rand@plt
     0.31%  min_priority_qu  [kernel.kallsyms]        [k] error_entry
     0.29%  min_priority_qu  [kernel.kallsyms]        [k] clear_page_erms
     0.27%  min_priority_qu  min_priority_queue_test  [.] free@plt
     0.25%  min_priority_qu  [kernel.kallsyms]        [k] sync_regs
     0.21%  min_priority_qu  min_priority_queue_test  [.] malloc@plt
     0.21%  min_priority_qu  [kernel.kallsyms]        [k] native_irq_return_iret
     0.16%  min_priority_qu  [kernel.kallsyms]        [k] native_flush_tlb_one_user
     0.14%  min_priority_qu  [kernel.kallsyms]        [k] _compound_head
     0.14%  min_priority_qu  [kernel.kallsyms]        [k] handle_mm_fault
     0.12%  min_priority_qu  [kernel.kallsyms]        [k] __handle_mm_fault
     0.12%  min_priority_qu  [kernel.kallsyms]        [k] rmqueue_bulk
     0.10%  min_priority_qu  [kernel.kallsyms]        [k] __free_one_page
     0.10%  min_priority_qu  [kernel.kallsyms]        [k] lru_gen_add_folio
     0.10%  min_priority_qu  [kernel.kallsyms]        [k] __count_memcg_events
     0.08%  min_priority_qu  [kernel.kallsyms]        [k] wp_page_copy
     0.08%  min_priority_qu  [kernel.kallsyms]        [k] charge_memcg
     0.07%  min_priority_qu  [kernel.kallsyms]        [k] __update_blocked_fair
     0.07%  min_priority_qu  [kernel.kallsyms]        [k] _raw_spin_lock
     0.06%  min_priority_qu  [kernel.kallsyms]        [k] lru_gen_del_folio.constprop.0
     0.06%  min_priority_qu  [kernel.kallsyms]        [k] __alloc_pages
     0.06%  min_priority_qu  min_priority_queue_test  [.] MinHeapDecreaseKey
     0.06%  min_priority_qu  [kernel.kallsyms]        [k] uncharge_folio
