# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 2771334943
#
# Overhead  Command       Shared Object      Symbol                            
# ........  ............  .................  ..................................
#
    12.12%  rb_tree_test  libc.so.6          [.] __mcount_internal
     8.37%  rb_tree_test  rb_tree_test       [.] RBTreeTestLargeInt
     7.23%  rb_tree_test  [kernel.kallsyms]  [k] __irqentry_text_end
     6.96%  rb_tree_test  [kernel.kallsyms]  [k] error_entry
     6.44%  rb_tree_test  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     6.17%  rb_tree_test  rb_tree_test       [.] RBTreeInsert
     3.52%  rb_tree_test  [kernel.kallsyms]  [k] native_irq_return_iret
     3.10%  rb_tree_test  rb_tree_test       [.] RBSearch
     3.08%  rb_tree_test  rb_tree_test       [.] IntCompare
     3.06%  rb_tree_test  [kernel.kallsyms]  [k] native_flush_tlb_one_user
     2.70%  rb_tree_test  [kernel.kallsyms]  [k] clear_page_erms
     2.42%  rb_tree_test  [kernel.kallsyms]  [k] sync_regs
     1.95%  rb_tree_test  libc.so.6          [.] _mcount
     1.81%  rb_tree_test  rb_tree_test       [.] FreeNodes
     1.80%  rb_tree_test  [kernel.kallsyms]  [k] __handle_mm_fault
     1.78%  rb_tree_test  [kernel.kallsyms]  [k] rmqueue_bulk
     0.98%  rb_tree_test  [kernel.kallsyms]  [k] charge_memcg
     0.98%  rb_tree_test  [kernel.kallsyms]  [k] __free_one_page
     0.97%  rb_tree_test  [kernel.kallsyms]  [k] wp_page_copy
     0.86%  rb_tree_test  libc.so.6          [.] __random
     0.86%  rb_tree_test  [kernel.kallsyms]  [k] handle_pte_fault
     0.86%  rb_tree_test  [kernel.kallsyms]  [k] handle_mm_fault
     0.69%  rb_tree_test  [kernel.kallsyms]  [k] _compound_head
     0.68%  rb_tree_test  [kernel.kallsyms]  [k] mtree_range_walk
     0.65%  rb_tree_test  [kernel.kallsyms]  [k] do_user_addr_fault
     0.62%  rb_tree_test  rb_tree_test       [.] RBFixInsert
     0.60%  rb_tree_test  [kernel.kallsyms]  [k] ptep_clear_flush
     0.57%  rb_tree_test  [kernel.kallsyms]  [k] percpu_counter_add_batch
     0.54%  rb_tree_test  [kernel.kallsyms]  [k] __count_memcg_events
     0.51%  rb_tree_test  [kernel.kallsyms]  [k] zap_pte_range
     0.50%  rb_tree_test  [kernel.kallsyms]  [k] pte_offset_map_nolock
     0.50%  rb_tree_test  [kernel.kallsyms]  [k] exc_page_fault
     0.47%  rb_tree_test  [kernel.kallsyms]  [k] release_pages
     0.47%  rb_tree_test  [kernel.kallsyms]  [k] lru_gen_del_folio.constprop.0
     0.47%  rb_tree_test  [kernel.kallsyms]  [k] __pte_offset_map
     0.47%  rb_tree_test  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.47%  rb_tree_test  [kernel.kallsyms]  [k] lru_gen_add_folio
     0.47%  rb_tree_test  [kernel.kallsyms]  [k] __rcu_read_lock
     0.47%  rb_tree_test  [kernel.kallsyms]  [k] _raw_spin_lock
     0.43%  rb_tree_test  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.43%  rb_tree_test  [kernel.kallsyms]  [k] __mod_node_page_state
     0.40%  rb_tree_test  libc.so.6          [.] _int_malloc
     0.40%  rb_tree_test  [kernel.kallsyms]  [k] page_remove_rmap
     0.40%  rb_tree_test  [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.36%  rb_tree_test  [kernel.kallsyms]  [k] folio_add_new_anon_rmap
     0.36%  rb_tree_test  [kernel.kallsyms]  [k] lock_vma_under_rcu
     0.36%  rb_tree_test  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.36%  rb_tree_test  [kernel.kallsyms]  [k] folio_batch_move_lru
     0.33%  rb_tree_test  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.32%  rb_tree_test  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.32%  rb_tree_test  [kernel.kallsyms]  [k] __rcu_read_unlock
     0.32%  rb_tree_test  [kernel.kallsyms]  [k] __pte_offset_map_lock
     0.32%  rb_tree_test  [kernel.kallsyms]  [k] access_error
     0.32%  rb_tree_test  [kernel.kallsyms]  [k] up_read
     0.29%  rb_tree_test  libc.so.6          [.] cfree@GLIBC_2.2.5
     0.29%  rb_tree_test  [kernel.kallsyms]  [k] free_unref_page_prepare
     0.29%  rb_tree_test  [kernel.kallsyms]  [k] folio_add_lru
     0.29%  rb_tree_test  [kernel.kallsyms]  [k] rmqueue
     0.29%  rb_tree_test  [kernel.kallsyms]  [k] down_read_trylock
     0.25%  rb_tree_test  [kernel.kallsyms]  [k] count_memcg_events.constprop.0
     0.25%  rb_tree_test  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.25%  rb_tree_test  [kernel.kallsyms]  [k] __alloc_pages
     0.25%  rb_tree_test  [kernel.kallsyms]  [k] vma_alloc_folio
     0.22%  rb_tree_test  libc.so.6          [.] _int_free
     0.22%  rb_tree_test  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.22%  rb_tree_test  [kernel.kallsyms]  [k] lru_add_fn
     0.22%  rb_tree_test  [kernel.kallsyms]  [k] _raw_spin_trylock
     0.18%  rb_tree_test  [kernel.kallsyms]  [k] uncharge_folio
     0.18%  rb_tree_test  [kernel.kallsyms]  [k] flush_tlb_func
     0.18%  rb_tree_test  [kernel.kallsyms]  [k] get_page_from_freelist
     0.18%  rb_tree_test  [kernel.kallsyms]  [k] _raw_spin_unlock
     0.18%  rb_tree_test  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.18%  rb_tree_test  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.14%  rb_tree_test  [kernel.kallsyms]  [k] irqentry_exit
     0.14%  rb_tree_test  [kernel.kallsyms]  [k] __folio_throttle_swaprate
     0.14%  rb_tree_test  [kernel.kallsyms]  [k] do_wp_page
     0.14%  rb_tree_test  [kernel.kallsyms]  [k] __rmqueue_pcplist
     0.14%  rb_tree_test  [kernel.kallsyms]  [k] __folio_alloc
     0.14%  rb_tree_test  [kernel.kallsyms]  [k] do_anonymous_page
     0.12%  rb_tree_test  [kernel.kallsyms]  [k] pmd_val
     0.11%  rb_tree_test  [kernel.kallsyms]  [k] free_unref_page_commit
     0.11%  rb_tree_test  [kernel.kallsyms]  [k] free_unref_page_list
     0.11%  rb_tree_test  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.11%  rb_tree_test  [kernel.kallsyms]  [k] post_alloc_hook
     0.11%  rb_tree_test  [kernel.kallsyms]  [k] try_charge_memcg
     0.11%  rb_tree_test  [kernel.kallsyms]  [k] mas_walk
     0.07%  rb_tree_test  [kernel.kallsyms]  [k] blk_cgroup_congested
     0.07%  rb_tree_test  [kernel.kallsyms]  [k] p4d_offset
     0.07%  rb_tree_test  [kernel.kallsyms]  [k] vm_normal_page
     0.07%  rb_tree_test  [kernel.kallsyms]  [k] free_swap_cache
     0.07%  rb_tree_test  [kernel.kallsyms]  [k] pud_val
     0.07%  rb_tree_test  rb_tree_test       [.] rand@plt
     0.07%  rb_tree_test  [kernel.kallsyms]  [k] page_counter_try_charge
     0.07%  rb_tree_test  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.07%  rb_tree_test  [kernel.kallsyms]  [k] __get_vma_policy
     0.06%  rb_tree_test  [kernel.kallsyms]  [k] __kmem_cache_alloc_bulk
     0.06%  rb_tree_test  [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] policy_nodemask
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] refill_stock
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] __mem_cgroup_threshold
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] folio_mapping
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] kthread_blkcg
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] _find_first_bit
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] pte_pfn
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] set_pte
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] consume_stock
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] __raw_spin_lock_irqsave
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] error_return
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] policy_node
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] pgd_none
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] pfn_pte
     0.04%  rb_tree_test  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  perf-exec     [kernel.kallsyms]  [k] perf_ctx_enable
     0.00%  perf-exec     [kernel.kallsyms]  [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
